Link,Id,User name,time,Tweet,Likes,Replies,Retweets
https://mobile.twitter.com/imVkohli/status/1306472426834862081,1306472426834862081,@imVkohli,2020-09-17T05:57:54.000Z,Virat Kohli @imVkohli · Sep 16  2020 Wishing a very Happy birthday to our honorable Prime Minister Shri Narendra Modi ji.  @narendramodi  @PMOIndia  2.6K 13.5K 205.2K, 205208 likes,2606 replies, 13568 Retweets
https://mobile.twitter.com/imVkohli/status/1306112908653293568,1306112908653293568,@imVkohli,2020-09-16T06:09:18.000Z,Virat Kohli @imVkohli · Sep 15  2020 A proper day at the pool yesterday  1.5K 6.2K 153.4K, 153462 likes,1523 replies, 6272 Retweets
https://mobile.twitter.com/imVkohli/status/1305522688522219520,1305522688522219520,@imVkohli,2020-09-14T15:03:59.000Z,Virat Kohli @imVkohli · Sep 14  2020 Focus  1.4K 6.8K 131.2K, 131275 likes,1460 replies, 6876 Retweets
https://mobile.twitter.com/imVkohli/status/1305387658445598720,1305387658445598720,@imVkohli,2020-09-14T06:07:25.000Z,Virat Kohli @imVkohli · Sep 13  2020 Jo seekhta hai  wahi career me aage badta hai. Excited to partner with  @Great_Learning   India's leading provider for online professional & higher education. Power your career with programs from the world's best universities http://greatlearning.in/power-ahead-1  #ViratForGreatLearning 329 1.6K 22.7K, 22724 likes,329 replies, 1644 Retweets
https://mobile.twitter.com/imVkohli/status/1305023514827612160,1305023514827612160,@imVkohli,2020-09-13T06:00:26.000Z,Virat Kohli @imVkohli · Sep 12  2020 Career mein aage badhne ke liye ______ chahiye hota hai. Fill in the blanks  and be creative   #ViratOnCareers 30.2K 12.1K 137K, 137097 likes,30246 replies, 12168 Retweets
https://mobile.twitter.com/imVkohli/status/1304780653469208577,1304780653469208577,@imVkohli,2020-09-12T13:55:24.000Z,Virat Kohli @imVkohli · Sep 12  2020 When you're having fun  each moment becomes magical  @RCBTweets 1K 6.1K 106.9K, 106942 likes,1092 replies, 6153 Retweets
https://mobile.twitter.com/imVkohli/status/1304714631710081026,1304714631710081026,@imVkohli,2020-09-12T09:33:03.000Z,Virat Kohli @imVkohli · Sep 12  2020 Hey Skip  @chetrisunil11  Gotta keep my scoring streak on like you do. Keep checking your mailbox  have sent an express cricket delivery your way!   #UnitedInSport  @pumacricket  @pumafootball 436 2.1K 39.9K, 39902 likes,436 replies, 2193 Retweets
https://mobile.twitter.com/imVkohli/status/1304345818955091968,1304345818955091968,@imVkohli,2020-09-11T09:07:31.000Z,Virat Kohli @imVkohli · Sep 11  2020 It's the small details that matter  . For me even couple of centimeters are crucial for the balance of a bat. I LOVE taking care of my bats  1.2K 5.5K 94.6K, 94601 likes,1264 replies, 5545 Retweets
https://mobile.twitter.com/imVkohli/status/1303940002506706944,1303940002506706944,@imVkohli,2020-09-10T06:14:57.000Z,Virat Kohli @imVkohli · Sep 9  2020 Wrogn Footwear just launched on  @Flipkart  and I’m really excited to share this with you guys!   Hit the link below and get ready to get your #WrognFootForward!  @StayWrogn https://bit.ly/35fiNAx 515 1.7K 27K, 27097 likes,515 replies, 1723 Retweets
https://mobile.twitter.com/imVkohli/status/1296425476521631744,1296425476521631744,@imVkohli,2020-08-20T12:34:54.000Z,Virat Kohli @imVkohli · Aug 20  2020 Ready. Let's Go!!   @one8world  #Throwback 775 3.1K 62.8K, 62867 likes,775 replies, 3172 Retweets
